No,Baslik,Kanal,Kategori,Goruntulenme,Begeni,Yorum,Etkilesim %,Begeni %,Sure (dk),Yayin Tarihi,Saat,Tag
1,POIZI - UYUYAMADIN Dİ Mİ (Official Video),Poizi,Muzik,1020299,31321,1841,3.2502,3.0698,2.65,2026-04-16,21,0
2,"Avengers: Doomsday - First Trailer ""The Last Thunder Go...",Galactic Trailer,Film & Animasyon,2201113,12687,280,0.5891,0.5764,1.52,2026-04-16,15,18
3,Brawl Talk: 3 NEW Brawlers!,Brawl Stars,Oyun,7888159,396538,33169,5.4475,5.027,11.1,2026-04-18,15,10
4,Mabel Matiz - Dağılıyorum Olaysız,mabelmatiz,Muzik,538952,22452,1983,4.5338,4.1659,4.63,2026-04-16,21,2
5,Street Fighter | Dublajlı Fragman  - 16 Ekim'de Sinemal...,Box Office Türkiye,Film & Animasyon,79350,1316,244,1.966,1.6585,3.03,2026-04-16,17,30
6,NEDEN Ferited Ölümsüz Oldu? - Minecraft,Ferited,Oyun,678112,10937,2368,1.9621,1.6129,25.52,2026-04-17,16,15
7,PARE PARE,Release - Topic,Muzik,348456,3962,0,1.137,1.137,2.22,2026-04-16,10,5
8,Street Fighter | Official Trailer (2026 Movie),Paramount Pictures,Film & Animasyon,13609832,254929,21498,2.0311,1.8731,2.88,2026-04-16,13,0
9,SÜPER AYI LAVA MODU! ARTIK HER ŞEY LAV İÇİNDE!🔥😱,Oyuncu Aile,Oyun,211899,2182,326,1.1836,1.0297,13.07,2026-04-18,9,24
10,Çile Misin Dert Mi Gam Mı Keder Mi | Anatolian Rock Cov...,Anatolian Arabesk Lab,Insanlar & Blog,743949,1108,14,0.1508,0.1489,4.17,2026-04-14,15,0
11,GÖRÜNMEZ olarak Arkadaşlarımı HİLE ile Trolledim! - Rob...,Lia,Oyun,153206,1853,370,1.451,1.2095,20.85,2026-04-18,12,35
12,Gel dedim geldin,Candemirtheater - Topic,Muzik,319430,4008,0,1.2547,1.2547,2.7,2026-04-15,18,2
13,FRANKLIN SÜPER OYUNCAK ARABALARI KAÇIRDI - GTA 5 MODS,TÜRKPRO,Oyun,457678,13952,372,3.1297,3.0484,25.12,2026-04-16,11,37
14,Misafir,Zeynep Bastık - Topic,Muzik,152955,1191,38,0.8035,0.7787,2.55,2026-04-16,10,2
